case,m_constraints,family,n_seeds,strictly_reliable_seeds,normalizer_reliable_seeds,reference_reliable_seeds,vi_converged_seeds,reliability_codes,normalized_reverse_kl_mean,normalized_reverse_kl_ci95_low,normalized_reverse_kl_ci95_high,tv_mean,tv_ci95_low,tv_ci95_high,average_marginal_w1_mean,average_marginal_w1_ci95_low,average_marginal_w1_ci95_high,sliced_w1_mean,sliced_w1_ci95_low,sliced_w1_ci95_high
log,5,diag,5,5,5,5,5,OK,0.26425659031208937,0.20182387585004852,0.33453236435677464,0.577649531228326,0.5131535781727999,0.6453970545191445,0.01524793638420227,0.013213709709841941,0.01695349056248524,0.014119230732294253,0.01213670161093556,0.01567689657727482
log,5,rank2,5,5,5,5,5,OK,0.0657275790027017,0.048647442074991346,0.08122191405973274,0.2804201868028177,0.24019631392333082,0.314976550701839,0.005292051716566001,0.004660986015269257,0.0060055864987110155,0.005032304988663984,0.004271699882526132,0.005751451098836032
log,5,rank4,5,5,5,5,5,OK,0.0340811115583949,0.026298062998157734,0.04165726080931801,0.19340912840549987,0.16662485987219264,0.21737533459317623,0.0042544498265970464,0.0033823043393478797,0.005018678339863821,0.003079355909694826,0.0025297498372293032,0.0036289619821603504
log,5,full,5,5,5,5,5,OK,0.03503733049680428,0.02682847817760716,0.04274955172338717,0.19402267834130457,0.16708902716003643,0.21801644751169222,0.004324329061052337,0.0034919652110296817,0.0050361177026026355,0.0033379085845786057,0.002670386677354629,0.004034007117602855
log,10,diag,5,5,5,5,5,OK,3.620415147574886,3.1628472720264034,3.911325134634184,0.999999999842071,0.9999999995262318,0.9999999999999958,0.041248501275982306,0.03633763862739224,0.044465034138783124,0.04076797348239977,0.03560113779683799,0.044762638994208466
log,10,rank2,5,0,5,5,0,U_VI,2.3387247611141673,2.0414274018613665,2.5400044436344498,0.9999994364289876,0.9999983129252017,0.9999999986688973,0.023324373916658158,0.018704066295828894,0.027350767064642723,0.02351477773969383,0.018830877495898908,0.02824215790654261
log,10,rank4,5,0,5,5,0,U_VI,1.3502501588389866,1.192242067506009,1.4912867511430303,0.9998411827674364,0.9995659647469266,0.9999882229229288,0.019041148232504745,0.015226919442486487,0.0226435890884015,0.018652578980694647,0.014726012319155529,0.022619389662459133
log,10,full,5,0,5,5,0,U_VI,0.5384696898102458,0.46489676258474033,0.6064295493418499,0.972213197376453,0.9557212893314502,0.9859046223775774,0.019960677721944563,0.015473593593629436,0.025376493609489226,0.01920993810501373,0.014262528298223581,0.024349772600244762
log,20,diag,5,2,5,5,2,OK;U_VI,2.738633360079393,2.4749479877371354,3.023608873442057,1.0,1.0,1.0,0.04300549158505357,0.035619584044368734,0.050389643448716645,0.041523182362432756,0.03456268672765999,0.04765805412464512
log,20,rank2,5,0,5,5,0,U_VI,2.0511148225544416,1.6963522263800594,2.448051963237178,0.9999999999996778,0.9999999999990468,0.9999999999999979,0.02896533499649943,0.018188492976217257,0.04014923763325362,0.028582251637843874,0.017571368558981792,0.03997627977007347
