experiment,case,data_seed,m_constraints,normalizer_reliable,reference_reliable,smaller_family,larger_family,elbo_difference,combined_3se,nesting_check_passed,interpretation
capacity,log,0,10,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,0,10,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,0,10,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,0,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,0,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,0,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,0,5,True,True,diag,rank2,1.043207017770275,0.06109655649594828,True,consistent_with_rank_nesting
capacity,log,0,5,True,True,rank2,rank4,0.16776513208737537,0.03285759761801449,True,consistent_with_rank_nesting
capacity,log,0,5,True,True,rank4,full,-0.011383928232242102,0.030931651381356458,True,consistent_with_rank_nesting
capacity,log,1,10,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,1,10,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,1,10,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,1,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,1,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,1,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,1,5,True,True,diag,rank2,1.5363913727827347,0.07692018737365636,True,consistent_with_rank_nesting
capacity,log,1,5,True,True,rank2,rank4,0.3500239375740408,0.03667504106467631,True,consistent_with_rank_nesting
capacity,log,1,5,True,True,rank4,full,0.0029389127655965464,0.021002118057289344,True,consistent_with_rank_nesting
capacity,log,2,10,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,2,10,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,2,10,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,2,20,True,False,diag,rank2,,,False,optimization_failure_or_missing_fit
capacity,log,2,20,True,False,rank2,rank4,,,False,optimization_failure_or_missing_fit
capacity,log,2,20,True,False,rank4,full,,,False,optimization_failure_or_missing_fit
capacity,log,2,5,True,True,diag,rank2,0.5912357712318546,0.05826032013128429,True,consistent_with_rank_nesting
capacity,log,2,5,True,True,rank2,rank4,0.087010145741237,0.0435747288169981,True,consistent_with_rank_nesting
