family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,lbfgs_function_evaluations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,restart
diag,0,softplus,1.0,-27.454252941319133,2.1079243086702293e-05,4200,147,162,10.58979619992897,True,True,-27.350236829530783,0.06561498978632065,-27.4720578184231,0.06508863500605327,True,True,,independent,False,capacity,log,0,10,0
diag,0,softplus,1.0,-27.454327894582818,1.556580583663019e-05,7000,131,141,15.13054469996132,True,True,-27.498884065408035,0.06772219475891002,-27.542192327895606,0.06603299413670925,True,True,,independent,False,capacity,log,0,10,1
diag,0,softplus,1.0,-27.454139780513223,3.867724722030913e-05,6400,139,152,14.5399299999699,True,True,-27.47071591624914,0.06512729291736977,-27.47751749491738,0.06597997175545933,True,True,,independent,True,capacity,log,0,10,2
rank2,2,softplus,1.0,-18.04098795866941,0.024217052308727154,2200,500,540,16.909922800026834,True,False,-18.059666805339532,0.05153753736897123,-17.993489165211734,0.05160332023522596,True,False,normalized_gradient,nested_warm_start,False,capacity,log,0,10,0
rank2,2,softplus,1.0,-17.941295746638797,0.016204018224868656,4400,500,538,21.772821999853477,True,False,-17.880997039948397,0.0504333206051516,-18.009095035895598,0.05386006817032617,True,False,normalized_gradient,independent,False,capacity,log,0,10,1
rank2,2,softplus,1.0,-17.939392786890153,0.024955570739343208,3400,500,539,19.64908569981344,True,False,-17.930871546993004,0.0515287473191447,-17.921698854640688,0.05216560505765258,True,False,normalized_gradient,independent,False,capacity,log,0,10,2
rank4,4,softplus,1.0,-11.363032107399272,0.846223677324933,2200,500,523,16.96674790000543,True,False,-11.260221201448516,0.03907245205114179,-11.38958736593517,0.041531390278755125,True,False,normalized_gradient,nested_warm_start,False,capacity,log,0,10,0
rank4,4,softplus,1.0,-11.231444187326936,0.25883881306367673,4000,500,536,21.31841199984774,True,False,-11.234820719848335,0.038856503398190974,-11.123470624391588,0.03867366352547012,True,False,normalized_gradient,independent,False,capacity,log,0,10,1
rank4,4,softplus,1.0,-11.178411416521358,0.4356179683225066,2800,500,539,17.51116059999913,True,False,-11.171030088497126,0.04012545704696178,-11.201797482870703,0.04043416003371706,True,False,normalized_gradient,independent,False,capacity,log,0,10,2
full,-1,softplus,1.0,-4.1845450784285845,0.0979348217684874,1400,500,527,16.308888599975035,True,False,-4.204814496048225,0.025212318631950472,-4.168061005408267,0.02192961617285834,True,False,normalized_gradient,nested_warm_start,False,capacity,log,0,10,0
full,-1,softplus,1.0,-4.166997568404774,0.09536851341857018,1200,500,538,13.681648700032383,True,False,-4.207480052334384,0.02382008563191515,-4.179226240646889,0.025078675198502293,True,False,normalized_gradient,independent,False,capacity,log,0,10,1
full,-1,softplus,1.0,-4.179670931663804,0.1190207920919796,3000,500,531,18.318635700037703,True,False,-4.162413672047499,0.0238078062093706,-4.123731979013815,0.02211090426002119,True,False,normalized_gradient,independent,False,capacity,log,0,10,2
diag,0,softplus,1.0,-67.91419593524915,1.4534740599116083,8000,500,554,54.034531000070274,True,False,-67.9503641031672,0.04380306730506613,-67.95344011467472,0.044493287436486756,True,False,normalized_gradient,independent,False,capacity,log,0,20,0
diag,0,softplus,1.0,-67.9514303997343,0.7590603725676534,8000,500,558,52.20683919987641,True,False,-67.8954028058551,0.043314784783439746,-67.95175408258694,0.044237661628030854,True,False,normalized_gradient,independent,False,capacity,log,0,20,1
diag,0,softplus,1.0,-67.90566202375331,0.25702527497402616,7600,500,561,53.69161940016784,True,False,-67.95373582477933,0.043537872758332104,-67.93122038363205,0.0447974067889795,True,False,normalized_gradient,independent,False,capacity,log,0,20,2
rank2,2,softplus,1.0,-58.18977687951377,1.5181285590265443,8000,500,522,53.86833509989083,True,False,-58.13611924107725,0.05274557679233461,-58.16512536231708,0.05304935296793141,True,False,normalized_gradient,independent,False,capacity,log,0,20,0
rank2,2,softplus,1.0,-58.58564266806668,2.5332692064899818,6400,500,524,47.68822499993257,True,False,-58.66835113241375,0.058935309270483925,-58.624002782628125,0.05740289136002885,True,False,normalized_gradient,independent,False,capacity,log,0,20,1
rank2,2,softplus,1.0,-57.65773732422588,8.464624134872825,8000,500,523,53.89195839990862,False,False,-57.598986918801174,0.053623247001573573,-57.65628791208345,0.05383460018403801,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,2
rank4,4,softplus,1.0,-56.10747878623937,8.562856266457322,6000,500,514,50.07915069977753,False,False,-56.265418654605185,0.1257294322553978,-56.096863001425,0.12628516494969097,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,0
rank4,4,softplus,1.0,-54.15547391774753,10.971390499973731,7600,500,513,54.4266825998202,False,False,-54.068919841585,0.12668440903408373,-54.41291517606041,0.13927079516552746,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,1
rank4,4,softplus,1.0,-58.692728627175285,10.1568423659589,6000,500,507,49.54108540015295,False,False,-58.72182518649603,0.14851936509334004,-58.40645164037315,0.14984980581879684,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,2
full,-1,softplus,1.0,-43.66330778496703,55.43177788497129,2400,500,512,30.7537016000133,False,False,-43.98042050427145,0.35937769169767214,-43.934742556947924,0.3492815531897125,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,0
full,-1,softplus,1.0,-51.86706921908984,71.18532327311104,1800,500,519,30.81225170008838,False,False,-51.22876298034119,0.3990984680577879,-51.43721585142116,0.41042957856504714,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,1
full,-1,softplus,1.0,-54.81405502173121,52.37564334589334,1600,500,520,28.768035999964923,False,False,-54.004187242258766,0.420012608128314,-54.78363948800876,0.43615689774130023,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,0,20,2
diag,0,softplus,1.0,-1.4546037891163155,0.0005026252286834305,800,13,16,1.0878019998781383,True,True,-1.46822226115521,0.018282446172998762,-1.4809189915012424,0.01848371845685069,True,True,,independent,False,capacity,log,0,5,0
diag,0,softplus,1.0,-1.453378942845338,6.956189755715103e-05,800,12,15,1.3689885998610407,True,True,-1.4338272400939303,0.017624947853203045,-1.4289716386555833,0.01784405303415654,True,True,,independent,False,capacity,log,0,5,1
diag,0,softplus,1.0,-1.4531579204473815,0.00013833235745863907,800,14,16,1.1824578000232577,True,True,-1.4619167849460466,0.01829900035159011,-1.4419579568797296,0.018011958081365846,True,True,,independent,True,capacity,log,0,5,2
rank2,2,softplus,1.0,-0.40945146825992307,0.0003310672531344813,1600,93,118,3.7034190001431853,True,True,-0.4187097671757715,0.008938732764119835,-0.409981424016306,0.009659843563560776,True,True,,nested_warm_start,True,capacity,log,0,5,0
rank2,2,softplus,1.0,-0.411880133602085,0.0003139462400626746,2400,59,80,4.194332599872723,True,True,-0.42416812474517485,0.009595538919460496,-0.4156429363479942,0.009602944405963633,True,True,,independent,False,capacity,log,0,5,1
rank2,2,softplus,1.0,-0.4098527146256341,0.00017913308710880538,2200,88,132,4.534147999947891,True,True,-0.42530074230056597,0.01054512159665274,-0.4141917522949192,0.009566036493570186,True,True,,independent,False,capacity,log,0,5,2
rank4,4,softplus,1.0,-0.2541685008401551,0.0005320914969600726,800,238,327,5.293345300015062,True,True,-0.25094463508839615,0.006329061983968225,-0.25002046012565826,0.008543274515685319,True,True,,nested_warm_start,True,capacity,log,0,5,0
rank4,4,softplus,1.0,-0.25546932989105775,0.000519141710602115,800,321,398,6.007035800023004,True,True,-0.24963800504578887,0.00657241612121014,-0.24690324109121517,0.006128937243700294,True,True,,independent,False,capacity,log,0,5,1
rank4,4,softplus,1.0,-0.25602464026418614,0.0060756478454664815,1800,339,409,7.7480637999251485,True,True,-0.2512337495999917,0.006382463525388892,-0.25805172039314084,0.006396777205963531,True,True,,independent,False,capacity,log,0,5,2
full,-1,softplus,1.0,-0.25563913674737915,0.0010923460060770786,800,21,25,1.3878371000755578,True,True,-0.25310325959574603,0.007001650871175851,-0.2646661218832101,0.007179766431530535,True,True,,nested_warm_start,False,capacity,log,0,5,0
full,-1,softplus,1.0,-0.25464871659687915,0.0014295017411493926,800,22,25,1.3939169999212027,True,True,-0.26232856332063825,0.008139436417874292,-0.25750962994645665,0.006537037989005782,True,True,,independent,True,capacity,log,0,5,1
full,-1,softplus,1.0,-0.2552377910820214,0.0006017947896820387,800,21,25,1.4652515999041498,True,True,-0.25163290074140976,0.0068131560684667235,-0.25371512394950585,0.006135820828895672,True,True,,independent,False,capacity,log,0,5,2
diag,0,softplus,1.0,-38.013731668296224,2.957312826609325e-06,5800,277,298,18.008375300094485,True,True,-38.03388046127341,0.04212620943588053,-37.98768322339177,0.04185446969198206,True,True,,independent,True,capacity,log,1,10,0
diag,0,softplus,1.0,-38.01374021952297,8.698578923292687e-06,3600,282,299,12.863144500181079,True,True,-37.989444321872426,0.041281507322839556,-37.99858175203019,0.042476706968050865,True,True,,independent,False,capacity,log,1,10,1
diag,0,softplus,1.0,-38.01373423220781,8.033171957811642e-06,7400,244,256,19.794379000086337,True,True,-38.009276090951346,0.04270571869836684,-38.03922965551672,0.042968593933175724,True,True,,independent,False,capacity,log,1,10,2
rank2,2,softplus,1.0,-23.86844270169179,0.11317461382114756,1200,500,523,15.022898799972609,True,False,-23.889231635845626,0.03343560149075632,-23.873989820309305,0.03276942479863976,True,False,normalized_gradient,nested_warm_start,False,capacity,log,1,10,0
rank2,2,softplus,1.0,-23.86692344149202,0.26213578698668066,4800,500,519,21.41015010001138,True,False,-23.797329386236,0.03326390239639574,-23.9010245884349,0.032827310683274886,True,False,normalized_gradient,independent,False,capacity,log,1,10,1
rank2,2,softplus,1.0,-23.859176714324015,0.1267541142115004,5200,500,521,21.59619230008684,True,False,-23.852834737371367,0.0328337258814288,-23.818066451266194,0.03257337695868134,True,False,normalized_gradient,independent,False,capacity,log,1,10,2
rank4,4,softplus,1.0,-12.550536321494732,1.2484855336199712,800,500,522,13.901864000130445,True,False,-12.575324160093581,0.02393409635568454,-12.549322886737006,0.02307051008722741,True,False,normalized_gradient,nested_warm_start,False,capacity,log,1,10,0
rank4,4,softplus,1.0,-12.716242259112562,1.6355276247082344,3600,500,518,20.849890999961644,False,False,-12.765809094963288,0.025162777934008593,-12.756829398239104,0.025161416763395037,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,1,10,1
rank4,4,softplus,1.0,-12.590943939030701,0.4043582249163145,5800,500,523,22.98642239999026,True,False,-12.599112614310648,0.02577402881450852,-12.549105282971075,0.025482249364879535,True,False,normalized_gradient,independent,False,capacity,log,1,10,2
full,-1,softplus,1.0,-10.489341431502751,2.9086710079584277,1200,500,524,16.518765500048175,False,False,-10.550034923378348,0.05145235628943988,-10.581590471141924,0.05023564976390806,True,False,"validation_plateau,normalized_gradient",nested_warm_start,False,capacity,log,1,10,0
full,-1,softplus,1.0,-5.328272993344989,3.0496879492191904,1200,500,521,13.248372900066897,False,False,-5.3333898703367195,0.034385038447538985,-5.339894825140683,0.04159954386393546,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,1,10,1
full,-1,softplus,1.0,-5.17161302541426,4.5363941052924215,1000,500,521,11.473241900093853,False,False,-5.174653057981089,0.037802994878872516,-5.189723569680602,0.03861281383233781,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,1,10,2
diag,0,softplus,1.0,-47.18560163214855,1.8221981499659915e-05,8000,380,419,46.123726499965414,True,True,-47.18234785341208,0.030993677256882384,-47.22146444340518,0.030758776793495535,True,True,,independent,False,capacity,log,1,20,0
diag,0,softplus,1.0,-47.18559884103881,1.9285618888883795e-05,8000,469,501,49.60297359991819,True,True,-47.13818906689123,0.03043064446951478,-47.17615390985122,0.030946551511604206,True,True,,independent,True,capacity,log,1,20,1
diag,0,softplus,1.0,-47.185599478923564,7.211433930741677e-06,8000,442,476,49.30205660010688,True,True,-47.158553894801784,0.03158765508447915,-47.26321673704373,0.031400565177327144,True,True,,independent,False,capacity,log,1,20,2
rank2,2,softplus,1.0,-31.2235062704967,0.603036120463085,1000,500,509,34.10539479996078,True,False,-31.241437793008494,0.02686035862214958,-31.233768516971466,0.027238087468569393,True,False,normalized_gradient,nested_warm_start,False,capacity,log,1,20,0
rank2,2,softplus,1.0,-31.52893041337039,0.06677326524161514,6600,500,515,46.88820639997721,True,False,-31.495384407575493,0.025075198686458678,-31.490110873687307,0.02495579967379022,True,False,normalized_gradient,independent,False,capacity,log,1,20,1
rank2,2,softplus,1.0,-31.4825464836631,0.9565796275217232,8000,500,512,51.240123899886385,True,False,-31.46954918798784,0.024614308764473018,-31.459861685595413,0.025180995782313274,True,False,normalized_gradient,independent,False,capacity,log,1,20,2
rank4,4,softplus,1.0,-17.22943016933199,0.5384262329868034,1400,500,520,33.2002111999318,True,False,-17.21641034490363,0.021669517361896467,-17.22104519196059,0.02220894873607072,True,False,normalized_gradient,nested_warm_start,False,capacity,log,1,20,0
rank4,4,softplus,1.0,-18.444654601430273,1.2900839558106516,5400,500,509,48.314631099812686,True,False,-18.485695748988668,0.030424840759433427,-18.496127676038697,0.03119412823543607,True,False,normalized_gradient,independent,False,capacity,log,1,20,1
rank4,4,softplus,1.0,-19.128777464355153,1.89163789392741,4800,500,515,45.46445090021007,True,False,-19.19361389147356,0.031953046418224516,-19.130436943611045,0.03098139146275287,True,False,normalized_gradient,independent,False,capacity,log,1,20,2
full,-1,softplus,1.0,-13.965598154329058,4.481347714478716,2400,500,521,30.24404520005919,False,False,-13.94707727454698,0.02198151868489609,-13.958984726102754,0.021442180428771402,True,False,"validation_plateau,normalized_gradient",nested_warm_start,False,capacity,log,1,20,0
full,-1,softplus,1.0,-16.732261681132982,11.11301010758385,1800,500,520,33.21460480010137,False,False,-16.98173011486215,0.17117956441510815,-16.6122217788971,0.16883900554803388,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,1,20,1
full,-1,softplus,1.0,-15.823036114080494,8.153993533986776,2200,500,519,30.9279970000498,False,False,-16.10090381241166,0.17617052068196046,-15.647963847202027,0.1668661776759732,True,False,"validation_plateau,normalized_gradient",independent,False,capacity,log,1,20,2
diag,0,softplus,1.0,-1.998168742997704,1.0330059104580926e-05,800,13,15,1.0083934001158923,True,True,-1.984371401660336,0.022272270530794665,-1.9888692822316936,0.02297563460102704,True,True,,independent,False,capacity,log,1,5,0
diag,0,softplus,1.0,-1.9980448211248172,3.111731928294092e-05,800,14,16,1.377515299944207,True,True,-2.00123370655289,0.023083931567183802,-1.9950141726293036,0.02269293603202278,True,True,,independent,True,capacity,log,1,5,1
diag,0,softplus,1.0,-1.9984215311836877,9.517835940908483e-05,1200,11,14,1.5859399000182748,True,True,-1.999703795776712,0.022368810634280076,-2.0011956948957925,0.02326549089602015,True,True,,independent,False,capacity,log,1,5,2
rank2,2,softplus,1.0,-0.46681851689712595,0.00014520114714099277,1800,81,101,3.6631849000696093,True,True,-0.4648423337701552,0.011159968917781187,-0.4748791784637373,0.011346170777316006,True,True,,nested_warm_start,True,capacity,log,1,5,0
rank2,2,softplus,1.0,-0.47020887683748036,0.00014662386910152688,2200,67,78,3.8707396001555026,True,True,-0.4817626101293172,0.010903387403988682,-0.4585276081378752,0.01120966521928506,True,True,,independent,False,capacity,log,1,5,1
rank2,2,softplus,1.0,-0.4695194912429077,0.00017145844557326466,2400,83,136,4.908830299973488,True,True,-0.441879250908769,0.011121956919580126,-0.4501858029919088,0.010886376116972544,True,True,,independent,False,capacity,log,1,5,2
rank4,4,softplus,1.0,-0.11089545176171,0.0004633753480820447,1000,52,181,3.63029250013642,True,True,-0.1027744428955752,0.004715200563327684,-0.11288003670935619,0.005016083363138709,True,True,,nested_warm_start,False,capacity,log,1,5,0
rank4,4,softplus,1.0,-0.11075222895928949,0.00018597033710554499,800,368,551,7.946816100040451,True,True,-0.11481839619611442,0.00499059650056555,-0.10733175779334628,0.0048543420804717805,True,True,,independent,True,capacity,log,1,5,1
rank4,4,softplus,1.0,-0.1133366168285379,0.009383398830045723,800,500,580,8.504962500184774,True,True,-0.11574641232724783,0.005013577626728053,-0.1194748609622066,0.005283096419572854,True,True,,independent,False,capacity,log,1,5,2
full,-1,softplus,1.0,-0.11194732634828508,0.00026759795698413,800,24,27,1.3757561999373138,True,True,-0.11375478138465872,0.005015298569885063,-0.11087965633199778,0.004875195802040739,True,True,,nested_warm_start,False,capacity,log,1,5,0
full,-1,softplus,1.0,-0.11297957656419122,0.000510400196621401,800,24,26,1.4808998999651521,True,True,-0.10900945185480243,0.004910901799058278,-0.10651354983306363,0.004996912444734855,True,True,,independent,False,capacity,log,1,5,1
full,-1,softplus,1.0,-0.11168674833163372,0.0002426192411688179,800,22,25,1.4134802999906242,True,True,-0.11187948343051787,0.004909565289753883,-0.10827376068485306,0.004936998318243554,True,True,,independent,True,capacity,log,1,5,2
diag,0,softplus,1.0,-40.18167266620901,0.0006949137079137959,6400,321,361,17.942861099960282,True,True,-40.184455067198456,0.06869828504524225,-40.22390249193612,0.06871986474931747,True,True,,independent,False,capacity,log,2,10,0
diag,0,softplus,1.0,-40.18142742528481,0.00011634898093416094,8000,398,459,22.547341600060463,True,True,-40.01937822720082,0.06658966311763571,-40.16405125835982,0.06707670428069519,True,True,,independent,True,capacity,log,2,10,1
diag,0,softplus,1.0,-40.18230016637129,0.0006531834045795275,8000,300,335,19.033389700111,True,True,-40.241003600350794,0.06887341636969518,-40.204194190669135,0.06623804594157147,True,True,,independent,False,capacity,log,2,10,2
rank2,2,softplus,1.0,-27.159083201106995,0.1849935631101943,1800,500,534,16.101094499928877,True,False,-27.130493335339175,0.05170292477549288,-27.09331832720158,0.05269243699741262,True,False,normalized_gradient,nested_warm_start,False,capacity,log,2,10,0
rank2,2,softplus,1.0,-31.03573263585773,0.6935211074499977,4400,500,534,21.57693800004199,True,False,-30.9970300736871,0.05499530839761913,-31.025962966560467,0.05570232170000584,True,False,normalized_gradient,independent,False,capacity,log,2,10,1
rank2,2,softplus,1.0,-27.151911791070546,0.22732052558068794,4200,500,535,18.052288100123405,True,False,-27.207064044276812,0.05360064607178264,-27.178263323566945,0.054533947680553745,True,False,normalized_gradient,independent,False,capacity,log,2,10,2
rank4,4,softplus,1.0,-17.196387284254236,1.6780560916362632,1800,500,530,16.79472119989805,True,False,-17.209038216499128,0.03866791060419244,-17.24222581839173,0.040571330528372695,True,False,normalized_gradient,nested_warm_start,False,capacity,log,2,10,0
