benchmark,c,cv_nll,cv_nll_std,data_seed,failed_folds,failure_reason,full_constraint_violation,full_ep_converged,full_ep_sweeps,nonconverged_folds,selected,successful_folds,tau
linear,0.02,5.710123821101429,3.4157200628823974,0,0,,0.0,True,1,0,True,5,0.00036739948698439863
linear,0.05,5.7101239826851,3.4157273527876044,0,0,,0.0,True,1,0,False,5,0.0009184987174609967
linear,0.1,5.710124570760604,3.415753359430465,0,0,,0.0,True,1,0,False,5,0.0018369974349219933
linear,0.2,5.710127091770919,3.4158569397267002,0,0,,0.0,True,1,0,False,5,0.0036739948698439866
linear,0.35,5.710135341804585,3.416138169840018,0,0,,0.0,True,1,0,False,5,0.006429491022226975
linear,0.5,5.710151474710623,3.4165627385154025,0,0,,0.0,True,1,0,False,5,0.009184987174609966
linear,1.0,5.710293415256297,3.4188456676231835,0,0,,0.0,True,1,0,False,5,0.01836997434921993
linear,0.02,2.091328481334016,1.9400678657248736,10,0,,0.0,True,1,0,True,5,0.0004497795289077665
linear,0.05,2.091328481478572,1.940067865554089,10,0,,0.0,True,1,0,False,5,0.0011244488222694163
linear,0.1,2.091328481996417,1.9400678649422864,10,0,,0.0,True,1,0,False,5,0.0022488976445388326
linear,0.2,2.0913284840926383,1.940067862465726,10,0,,0.0,True,1,0,False,5,0.004497795289077665
linear,0.35,2.091328490066369,1.9400678554081197,10,0,,0.0,True,1,0,False,5,0.007871141755885913
linear,0.5,2.091328499926256,1.940067843759253,10,0,,0.0,True,1,0,False,5,0.011244488222694162
linear,1.0,2.091328575980609,1.9400677539055817,10,0,,0.0,True,1,0,False,5,0.022488976445388324
linear,0.02,1.9274369548172245,3.2231838795820495,11,0,,0.0,True,1,0,False,5,0.0003618912544869031
linear,0.05,1.9274369548172245,3.2231838795820495,11,0,,0.0,True,1,0,False,5,0.0009047281362172578
linear,0.1,1.9274369548172245,3.22318387958205,11,0,,0.0,True,1,0,False,5,0.0018094562724345156
linear,0.2,1.9274369548172214,3.2231838795820518,11,0,,0.0,True,1,0,False,5,0.003618912544869031
linear,0.35,1.92743695481721,3.2231838795820598,11,0,,0.0,True,1,0,False,5,0.006333096953520804
linear,0.5,1.9274369548171755,3.2231838795820837,11,0,,0.0,True,1,0,True,5,0.009047281362172577
linear,1.0,1.9274369548174373,3.2231838795819026,11,0,,0.0,True,1,0,False,5,0.018094562724345155
linear,0.02,1.9204902895914209,3.5089111515651337,12,0,,0.0,True,1,0,False,5,0.0004041471380944728
linear,0.05,1.920490289589757,3.508911151566272,12,0,,0.0,True,1,0,False,5,0.001010367845236182
linear,0.1,1.9204902895837073,3.50891115157041,12,0,,0.0,True,1,0,False,5,0.002020735690472364
linear,0.2,1.9204902895572964,3.5089111515884763,12,0,,0.0,True,1,0,False,5,0.004041471380944728
linear,0.35,1.9204902894644054,3.508911151652017,12,0,,0.0,True,1,0,False,5,0.007072574916653273
linear,0.5,1.9204902892456228,3.5089111518016716,12,0,,0.0,True,1,0,False,5,0.01010367845236182
linear,1.0,1.9204902831864021,3.508911155946395,12,0,,0.0,True,1,0,True,5,0.02020735690472364
linear,0.02,2.2535176662167884,1.8013360785450292,13,0,,0.0,True,1,0,True,5,0.0005254639298364196
linear,0.05,2.2535188255037273,1.8013363112040002,13,0,,0.0,True,1,0,False,5,0.001313659824591049
linear,0.1,2.253522972482245,1.8013371434974053,13,0,,0.0,True,1,0,False,5,0.002627319649182098
linear,0.2,2.253539664059123,1.801340493954868,13,0,,0.0,True,1,0,False,5,0.005254639298364196
