benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.1971463368450803,0.0009838026489698607,1.644527262069934e-06,0,0.9999861696383321,finite_difference_log_data12_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.1971463368450803,0.00025953863105906565,1.1849141203572758e-07,0,0.9999988329278613,finite_difference_log_data12_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.1971463368450803,0.00011891733538351297,2.3535608777553595e-08,0,0.9999996217804092,finite_difference_log_data12_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.1971463368450803,0.00010173144706397211,1.75929384264793e-08,0,0.9999996711523379,finite_difference_log_data12_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.888510902382949,0.001287924961710992,3.2211819122637214e-06,1,0.9999843079139747,finite_difference_log_data12_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.888510902382949,0.00033363208932382817,2.0905720155649358e-07,1,0.999998838833707,finite_difference_log_data12_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.888510902382949,0.00011217854037755979,2.0587893330656577e-08,1,0.9999997621349315,finite_difference_log_data12_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.888510902382949,7.432169303509829e-05,8.813293734019447e-09,1,0.9999998199892598,finite_difference_log_data12_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.787564181951227,0.0011909407325551265,2.8523307843341656e-06,2,0.9999806992578935,finite_difference_log_data12_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.787564181951227,0.0003120535942755691,1.8646395627759543e-07,2,0.9999985968473506,finite_difference_log_data12_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.787564181951227,0.00011066724032967755,1.998383093756886e-08,2,0.9999997294271937,finite_difference_log_data12_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.787564181951227,7.740676547700296e-05,9.580109940280866e-09,2,0.99999980047819,finite_difference_log_data12_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-3.387414442919943e-14,12,0.5,0.05,1e-10,0.0,finite_difference_optimization,2.63995444438048,0.0012178069333751275,2.6584370827518907e-06,3,0.9999844696607674,finite_difference_log_data12_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-1.4195813942274167e-13,12,0.25,0.025,1e-10,0.0,finite_difference_optimization,2.63995444438048,0.0003156645557979913,1.7612336635011419e-07,3,0.9999987811195777,finite_difference_log_data12_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
log,6,0.0,-6.883017609579849e-13,12,0.125,0.0125,1e-10,0.0,finite_difference_optimization,2.63995444438048,0.00011656475383718254,2.1640547461585757e-08,3,0.9999996811555486,finite_difference_log_data12_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
