method,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,metric_available,unavailable_reason,experiment,case,data_seed,m_constraints,normalizer_reliable,reference_reliable,logz,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.00025063694476524893,0.0003882924543691427,0.00011760569718002058,0.019786261105181627,True,,main,linear,0,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.00025063694476524893,0.0003882924543691427,0.00011760569718002058,0.019786261105181627,True,,main,linear,0,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.026783812098919973,0.02814585511675505,0.024311797031922985,1.0,True,,main,linear,0,5,True,True,0.0,,,,,,,,
EP-GP,inf,0.0,-3.9071773827097424e-05,2.603046138844184e-05,0.001536044152694023,8.146704542338933e-06,0.00030397320367419055,0.00045167946850077254,0.0003110873291977235,0.014070125023438441,True,,main,linear,0,5,True,True,0.0,,,,,,,,
CTVGP,5.058549693370845,0.005556864940726185,1209.4863282520025,9.647099977265652,0.9766240676672479,0.00040903386071151714,0.003123875580083704,0.00433873670025027,0.00023950975092302957,0.4308511787452408,True,,main,linear,0,5,True,True,0.0,-5.054239760194495,0.0015553436331127023,True,9.531916599953547,-0.5427537369988409,-0.4615467494482416,-0.42855765380716526,0.8133321351744762
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.0003827095081631864,0.0004743570397689215,0.00038588278752294404,0.013491072396347477,True,,main,linear,10,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.0003827095081631864,0.0004743570397689215,0.00038588278752294404,0.013491072396347477,True,,main,linear,10,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.06740564576284827,0.06777782976921545,0.0773935793807479,1.0,True,,main,linear,10,5,True,True,0.0,,,,,,,,
EP-GP,inf,0.0,2.9152476754900885e-06,4.956529985245479e-06,0.00033997415734097027,1.2932731618369733e-06,0.00025520348755984104,0.000659637162543081,0.00013441370892076796,0.008349385588611665,True,,main,linear,10,5,True,True,0.0,,,,,,,,
CTVGP,1.2735879090751498,0.004499935616260049,3.3881296129323766,0.02993187563475092,0.599053263600808,0.0015026741932606127,0.0041764768802883025,0.005499475234472643,0.00011193487597142341,0.40204456497129004,True,,main,linear,10,5,True,True,0.0,-1.2770464072080703,2.3479636366808875e-05,True,5.674589600181207,-0.5125590681582547,-0.4482299528117328,-0.3603367616555799,0.867410866597885
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.0002507946077536211,0.0005670236465899608,9.116345324358651e-05,0.029739365722237166,True,,main,linear,11,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.0002507946077536211,0.0005670236465899608,9.116345324358651e-05,0.029739365722237166,True,,main,linear,11,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.022630042046945277,0.02307990408923865,0.018983300523775223,1.0,True,,main,linear,11,5,True,True,0.0,,,,,,,,
EP-GP,inf,0.0,0.003696131532846,0.000543428905179112,0.03473461690028963,0.00018575340980356327,0.00018101912275301525,0.00034898755571342307,0.00011549016003530904,0.013379555478195346,True,,main,linear,11,5,True,True,0.0,,,,,,,,
CTVGP,6.343905063233708,0.00543572991400116,8079.195766462656,65.87624300671338,0.9922379989831125,0.0002255427739080619,0.0008488238590139811,0.001542677136524897,7.600417006817685e-05,0.11282009808610186,True,,main,linear,11,5,True,True,0.0,-6.3415412532370325,0.0022742396203165507,True,9.358730799984187,-0.5343215232681501,-0.47551780196704574,-0.44501790681758535,0.8164987662729344
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.00023987921673992527,0.00048419978060495713,0.0001606918845906563,0.005787090303302365,True,,main,linear,12,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.00023987921673992527,0.00048419978060495713,0.0001606918845906563,0.005787090303302365,True,,main,linear,12,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.040274985805659656,0.04228644365107374,0.0457204941542426,1.0,True,,main,linear,12,5,True,True,0.0,,,,,,,,
EP-GP,inf,0.0,3.850553965375761e-06,1.653582447110679e-05,0.0010825973213909126,4.664225523707795e-06,0.00024594873812261095,0.0005133680215979073,0.0002299094328466841,0.00935305395305924,True,,main,linear,12,5,True,True,0.0,,,,,,,,
CTVGP,4.669772275510078,0.005510729445776635,692.7858893133547,5.5966738258275734,0.9684449547312619,0.0004814645694001157,0.003586789092054703,0.005107291749448816,0.0002777410662634771,0.46130793268258996,True,,main,linear,12,5,True,True,0.0,-4.669262897717006,0.000705764078930931,True,7.962613000068814,-0.555962109748657,-0.4697010305136516,-0.4324075120370253,0.7842270294470555
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.0004124032113357664,0.000475225211420425,0.00034033427826331937,0.011208621099012606,True,,main,linear,13,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.0004124032113357664,0.000475225211420425,0.00034033427826331937,0.011208621099012606,True,,main,linear,13,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.03347468184899636,0.03487367687175623,0.02796438908973089,1.0,True,,main,linear,13,5,True,True,0.0,,,,,,,,
EP-GP,inf,0.0,1.0054427034610273e-05,7.396279755571179e-05,0.004394829965484427,2.3436703214761525e-05,0.00038700886786081494,0.0005638718853037686,0.0003327904143722594,0.014152553676881325,True,,main,linear,13,5,True,True,0.0,,,,,,,,
CTVGP,5.690092725709719,0.005452896726280751,3168.3615640679695,25.625865749671775,0.9864560139669271,0.00029901936771283667,0.0018467875596935852,0.0027361513584703394,0.0002802189836386842,0.17619704557913832,True,,main,linear,13,5,True,True,0.0,-5.6915550639255486,0.001662900672351436,True,6.8024847998749465,-0.5356411022960971,-0.45811105954524134,-0.42163996766023937,0.7863532203592627
Standard GP,inf,0.0,0.0,0.0,0.0,0.0,0.0002923687786753093,0.0007798227708613241,0.00020330462116827704,0.008745254526870944,True,,main,linear,14,5,True,True,0.0,,,,,,,,
Projection GP,inf,0.0,0.0,0.0,0.0,0.0,0.0002923687786753093,0.0007798227708613241,0.00020330462116827704,0.008745254526870944,True,,main,linear,14,5,True,True,0.0,,,,,,,,
Basis GP,inf,0.0,inf,0.0,1.0,0.0,0.03837504998863769,0.0406796560551339,0.03710863400025625,1.0,True,,main,linear,14,5,True,True,0.0,,,,,,,,
