case,case_label,method,n_paired_seeds,planned_seeds,failure_rate,main_claim_eligible,reverse_kl_mean,reverse_kl_ci95_low,reverse_kl_ci95_high,reverse_kl_status,forward_kl_mean,forward_kl_ci95_low,forward_kl_ci95_high,forward_kl_status,tv_mean,tv_ci95_low,tv_ci95_high,tv_status,average_marginal_w1_mean,average_marginal_w1_ci95_low,average_marginal_w1_ci95_high,average_marginal_w1_status,sliced_w1_mean,sliced_w1_ci95_low,sliced_w1_ci95_high,sliced_w1_status
linear,(a),Standard GP,20,20,0.0,True,inf,inf,inf,infinite,0.0,0.0,0.0,finite,0.0,0.0,0.0,finite,0.000315334747341935,0.0002751501071857283,0.0003631673012492,finite,0.00055783560986794,0.00048262137177300455,0.0006460857813018171,finite
linear,(a),Projection GP,20,20,0.0,True,inf,inf,inf,infinite,0.0,0.0,0.0,finite,0.0,0.0,0.0,finite,0.000315334747341935,0.0002751501071857283,0.0003631673012492,finite,0.00055783560986794,0.00048262137177300455,0.0006460857813018171,finite
linear,(a),Basis GP,20,20,0.0,True,inf,inf,inf,infinite,inf,inf,inf,infinite,1.0,1.0,1.0,finite,0.037177883604237884,0.030626667684439786,0.04533615709679137,finite,0.038296182638027615,0.032155718806508124,0.045568767094795855,finite
linear,(a),EP-GP,20,20,0.0,True,inf,inf,inf,infinite,0.0023624211808139267,0.00082444709225743,0.0043370421749648275,finite,0.016592389888424687,0.009269642580689144,0.024994322497606344,finite,0.000336381137721065,0.00028104144034018326,0.0003995288834531452,finite,0.00062779234976305,0.0005187844719468644,0.0007535753412681715,finite
linear,(a),CTVGP,20,20,0.0,True,5.144103010200705,4.3057486827305675,5.8578649408735215,finite,4597.349989900915,3121.0532974749963,6068.437202707875,finite,0.9287971135970856,0.8653839727742918,0.9823110651284245,finite,0.002342372100853015,0.0015531555915672677,0.003256755773897027,finite,0.003126161337581145,0.00225613887401593,0.004124448090715427,finite
log,(b),Standard GP,20,20,0.0,True,inf,inf,inf,infinite,0.1781205881694512,0.06904436707098217,0.3112250906157325,finite,0.1348601211013384,0.057586320123404366,0.2256487667799757,finite,0.008025860145415915,0.0033075796679642704,0.01423694865727175,finite,0.009096852475093729,0.004110543682755565,0.01525186705623572,finite
log,(b),Projection GP,20,20,0.0,True,inf,inf,inf,infinite,0.1781205881694512,0.06904436707098217,0.3112250906157325,finite,0.1348601211013384,0.057586320123404366,0.2256487667799757,finite,0.008025860145415915,0.0033075796679642704,0.01423694865727175,finite,0.009096852475093729,0.004110543682755565,0.01525186705623572,finite
log,(b),Basis GP,20,20,0.0,True,inf,inf,inf,infinite,inf,inf,inf,infinite,1.0,1.0,1.0,finite,0.08613659644828209,0.07422783516329233,0.10079785049052345,finite,0.08642903680377975,0.07462446089437634,0.1005554860130792,finite
log,(b),EP-GP,20,20,0.0,True,inf,inf,inf,infinite,0.14822780858477277,0.05833742574215304,0.2585090643053211,finite,0.13333002685282752,0.0714441065459936,0.20772735224157482,finite,0.006581585547821544,0.003129385629029787,0.011247182037333011,finite,0.007421977409534995,0.0035715497266141393,0.01247144270436166,finite
log,(b),CTVGP,20,20,0.0,True,0.5686398694693956,0.3703254176111766,0.8109040580122908,finite,2.3436223529440126,0.9757288462593058,4.304931034330194,finite,0.3506001842707311,0.28658466675913424,0.42201551894658873,finite,0.006969568624692021,0.005730331375979377,0.008331229932854376,finite,0.006618851600971724,0.005390485158389811,0.007904774882305579,finite
sigmoid,(c),Standard GP,20,20,0.0,True,inf,inf,inf,infinite,5.876102986727808,5.135312279670957,6.600958686909853,finite,0.9889993882008412,0.9758248081251959,0.9968707521511506,finite,0.16789439355122243,0.144995790201993,0.19134195264142173,finite,0.16532106421753798,0.1420653155294192,0.18931358578689952,finite
sigmoid,(c),Projection GP,20,20,0.0,True,inf,inf,inf,infinite,5.876102986727808,5.135312279670957,6.600958686909853,finite,0.9889993882008412,0.9758248081251959,0.9968707521511506,finite,0.16789439355122243,0.144995790201993,0.19134195264142173,finite,0.16532106421753798,0.1420653155294192,0.18931358578689952,finite
sigmoid,(c),Basis GP,20,20,0.0,True,inf,inf,inf,infinite,inf,inf,inf,infinite,1.0,1.0,1.0,finite,0.3463195366654558,0.30732902198096085,0.3872110654827192,finite,0.44879686699240706,0.3949193827308493,0.502192588001309,finite
sigmoid,(c),EP-GP,20,20,0.0,True,inf,inf,inf,infinite,4.39396657026396,3.6504955690676413,5.112941703597366,finite,0.958846332327222,0.9256934675243672,0.9820116545403831,finite,0.11215754719430612,0.10158172948956622,0.12271313645639105,finite,0.11431559987172384,0.10347810097629476,0.12480432033767298,finite
sigmoid,(c),CTVGP,20,20,0.0,True,0.45793696439808523,0.42147672439272,0.5020675969286243,finite,1.1869213650868364,1.056186598618823,1.3542031648698363,finite,0.33504613423215823,0.3212688528656499,0.3519531535015335,finite,0.011459941805712994,0.009735746641314318,0.013266693884391053,finite,0.007429230351405106,0.006384514676634164,0.008509873150272297,finite
