method,metric_available,unavailable_reason,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,experiment,case,data_seed,m_constraints,family,map,derivative_scale,squareplus_alpha_over_sd,selected_validation_elbo,selected_normalized_gradient,selected_wall_time_seconds,converged_restarts,restart_count,normalizer_reliable,reference_reliable,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative
CTVGP,False,no converged restart,,,,,,,,,,,map,log,0,20,rank2,softplus,0.05247499375245364,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,0,20,rank2,exp,0.05247499375245364,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,0,20,rank2,squareplus,0.05247499375245364,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.36798422583359786,0.002657981111951498,1.2388838687020978,0.0352734599349921,0.2996863049465197,0.0012889019013891843,0.00605030901675437,0.004817898622143765,0.0020293003114278787,0.21750736169670642,map,log,0,5,rank2,softplus,0.051555328087114834,,-0.4094851071782113,0.0002044466779564769,3.3393606001045555,3,3,True,True,-0.4094851071782113,0.0002044466779564769,True,3.3393606001045555,-2.804977679563852,-1.2847552601520174,-0.34479598707675574,0.02023390906163185
CTVGP,True,,0.41073184512568817,0.002843083226555727,1.4956283886630466,0.041909229868625754,0.3185146137170703,0.0013304079213826527,0.006961876926239596,0.0060348729608153085,0.0020037099837749263,0.24020260670970167,map,log,0,5,rank2,exp,0.051555328087114834,,-0.45278232504508775,0.0001616471159517267,2.9804344000294805,3,3,True,True,-0.45278232504508775,0.0001616471159517267,True,2.9804344000294805,-2.736386589698179,-1.1290201574094043,0.20789234290634231,0.025205513719506915
CTVGP,True,,0.18070508976710356,0.0018900101988158491,0.3702267583387293,0.1293952879160309,0.20549394626165185,0.000978366486941153,0.0023021327157606054,0.002624574234662862,0.00046791704094919595,0.16312213098654524,map,log,0,5,rank2,squareplus,0.051555328087114834,0.25,-0.2203518218380971,0.0002269865794148173,1.9267092000227422,3,3,True,True,-0.2203518218380971,0.0002269865794148173,True,1.9267092000227422,-0.04344655328206198,-0.00038743856554368516,-2.727893773209422e-05,0.0004210581984571197
CTVGP,False,no converged restart,,,,,,,,,,,map,log,1,20,rank2,softplus,0.032390315496944225,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,1,20,rank2,exp,0.032390315496944225,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,log,1,20,rank2,squareplus,0.032390315496944225,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.4736888216051754,0.0032057094740551005,0.7495270231889238,0.028573433454166762,0.34130860573064936,0.001319371453002523,0.0049612228439972345,0.005062060207216043,0.0009284656941491028,0.31906342412952476,map,log,1,5,rank2,softplus,0.03233473952504486,,-0.4698664525513916,0.0002811840958219254,2.650311900069937,3,3,True,True,-0.4698664525513916,0.0002811840958219254,True,2.650311900069937,-1.9355941474654994,-1.3569955487032561,-0.44938113427665916,0.10524154007302843
CTVGP,True,,0.5010866239552146,0.0033216116580948485,0.8551236361491643,0.03601663142918967,0.3510223624468427,0.001338284479483225,0.005526410265357171,0.005786820989228925,0.0013486114514104854,0.3289579047085201,map,log,1,5,rank2,exp,0.03233473952504486,,-0.49905315733358613,0.00018862746782521446,2.3514326999429613,3,3,True,True,-0.49905315733358613,0.00018862746782521446,True,2.3514326999429613,-1.8468469409994113,-1.2155774233942602,0.015862041842080527,0.1084940228836057
