family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,derivative_scale,restart
rank2,2,softplus,1.0,-57.44612342590845,0.699013452379756,8000,500,49.579960300121456,True,False,-57.5113213953654,0.0528515870707445,-57.58408430647237,0.05382543514058495,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,0
rank2,2,softplus,1.0,-57.574926507610314,2.1280736313137845,8000,500,53.76129760011099,True,False,-57.54039115255043,0.051498152206933746,-57.56852196806746,0.0517311906099981,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,1
rank2,2,softplus,1.0,-57.29457279860479,2.1403538609813855,7000,500,50.964553699828684,True,False,-57.24411419144456,0.057754372538353894,-57.28647757141397,0.05543785052793783,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,2
rank2,2,exp,1.0,-59.22292412890663,1.1985930855659561,8000,500,31.168077199952677,True,False,-59.296596143082766,0.05928641985886121,-59.356087064137824,0.05946771158367891,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,0
rank2,2,exp,1.0,-60.32580513263079,0.8838024247249708,8000,500,31.52867849986069,True,False,-60.387739069669585,0.065487235322252,-60.28987731575138,0.06556793718042528,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,1
rank2,2,exp,1.0,-61.38530062651782,1.8220501884577147,7800,500,29.87480380013585,True,False,-61.379851838260436,0.06880208658930523,-61.4138778321229,0.07225635635134706,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,2
rank2,2,squareplus,0.01311874843811341,-50.4697027876162,2.4125367901241868,7400,500,58.27437189989723,True,False,-50.46728136191862,0.039306099373869446,-50.490232697000465,0.039684191529658255,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,0
rank2,2,squareplus,0.01311874843811341,-50.05155053173178,0.6719112716615577,7200,500,58.52331129997037,True,False,-50.06410867645895,0.03856711687570866,-50.017223538510976,0.037795142756759784,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,1
rank2,2,squareplus,0.01311874843811341,-49.8426009822993,0.8400180914291957,8000,500,61.78887859988026,True,False,-49.87956861599358,0.03964281302926011,-49.87170502625945,0.03917051603573044,True,False,normalized_gradient,independent,False,map,log,0,20,0.05247499375245364,2
rank2,2,softplus,1.0,-0.4094851071782113,0.0002044466779564769,2000,62,3.3393606001045555,True,True,-0.4058789193137709,0.009260887695879226,-0.4088792989250174,0.0094216565479269,True,True,,independent,True,map,log,0,5,0.051555328087114834,0
rank2,2,softplus,1.0,-0.411280777868654,0.0005152228140040238,2000,74,3.253766299923882,True,True,-0.419149020471105,0.009314560523801139,-0.416950327381163,0.009474115475159068,True,True,,independent,False,map,log,0,5,0.051555328087114834,1
rank2,2,softplus,1.0,-0.4106932360493931,0.0005093164109287769,1800,93,3.3102076000068337,True,True,-0.40470355170658967,0.009594587483443481,-0.42032317556248905,0.00959924558198092,True,True,,independent,False,map,log,0,5,0.051555328087114834,2
rank2,2,exp,1.0,-0.4530570735105708,0.0006519155007331243,2400,92,3.3986929999664426,True,True,-0.4517665478683137,0.010463741673654442,-0.46170848029298084,0.010610671866714024,True,True,,independent,False,map,log,0,5,0.051555328087114834,0
rank2,2,exp,1.0,-0.45278232504508775,0.0001616471159517267,2600,74,2.9804344000294805,True,True,-0.44193593422057004,0.009901719807285476,-0.4741957538069308,0.010239030516188156,True,True,,independent,True,map,log,0,5,0.051555328087114834,1
rank2,2,exp,1.0,-0.45351479549359563,0.00043996165119728316,1600,112,2.389014800079167,True,True,-0.4600489178739825,0.010222704260888898,-0.4793892759839157,0.01254992978708759,True,True,,independent,False,map,log,0,5,0.051555328087114834,2
rank2,2,squareplus,0.012888832021778708,-0.2208847509897609,0.0001727078949655088,2200,52,3.0950621999800205,True,True,-0.21130526421436405,0.0064923237564847,-0.22151338199349946,0.006397709051233271,True,True,,independent,False,map,log,0,5,0.051555328087114834,0
rank2,2,squareplus,0.012888832021778708,-0.2203518218380971,0.0002269865794148173,1200,44,1.9267092000227422,True,True,-0.21605309777040116,0.006637530263005114,-0.21369169592306017,0.006336459836160355,True,True,,independent,True,map,log,0,5,0.051555328087114834,1
rank2,2,squareplus,0.012888832021778708,-0.22072715295060696,0.0002996262147975973,1800,47,2.659290899988264,True,True,-0.22789118684930176,0.006694310295488474,-0.22023631924957038,0.006508569688427941,True,True,,independent,False,map,log,0,5,0.051555328087114834,2
rank2,2,softplus,1.0,-31.525081021208152,0.21560530942116093,6200,500,45.4925241000019,True,False,-31.55706288470417,0.025096403320139567,-31.501470061383657,0.025171577399183225,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,0
rank2,2,softplus,1.0,-31.527325407421827,0.22023480819955313,6600,500,46.360962599981576,True,False,-31.53549217551968,0.025248353558950193,-31.507575320739164,0.024926723630987625,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,1
rank2,2,softplus,1.0,-31.519206894171845,0.20081268632708255,7200,500,51.398232199950144,True,False,-31.468190114650398,0.024769475848091284,-31.517773017766828,0.024869856431753934,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,2
rank2,2,exp,1.0,-31.59989403784958,0.1653538314531057,8000,500,30.792344300076365,True,False,-31.59391635553331,0.02520663082828178,-31.627592204983678,0.024504544473244808,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,0
rank2,2,exp,1.0,-31.58919488692328,0.13922243728769143,7400,500,30.138699900126085,True,False,-31.553137123780946,0.024912116878729712,-31.542478932922805,0.025564615899103714,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,1
rank2,2,exp,1.0,-31.595585525036313,0.5594267258967502,8000,500,29.52860249998048,True,False,-31.55219462302336,0.024484076429363493,-31.656667792329316,0.025442481345321784,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,2
rank2,2,squareplus,0.008097578874236056,-30.289840355633004,0.037390828483075886,8000,500,59.62446950003505,True,False,-30.299226526947116,0.026677282014450302,-30.28359053973932,0.026095360348108405,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,0
rank2,2,squareplus,0.008097578874236056,-30.290015189563263,0.06607342394709416,6600,500,57.084857099922374,True,False,-30.326249198375166,0.02612236084190372,-30.28438176215625,0.02613010557437442,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,1
rank2,2,squareplus,0.008097578874236056,-30.2895204524431,0.0659368441312184,7200,500,59.703750600107014,True,False,-30.310108655453867,0.026500675098981293,-30.331682316217027,0.026290945776697463,True,False,normalized_gradient,independent,False,map,log,1,20,0.032390315496944225,2
rank2,2,softplus,1.0,-0.470461479476322,0.00013498642205260445,1800,134,4.401253300020471,True,True,-0.4956374926363837,0.011497022403755398,-0.47081301915612367,0.011349004836888053,True,True,,independent,False,map,log,1,5,0.03233473952504486,0
