case,m_constraints,map,available_seeds,planned_seeds,failure_rate,reverse_kl_mean,reverse_kl_ci95_low,reverse_kl_ci95_high,reverse_kl_status,forward_kl_mean,forward_kl_ci95_low,forward_kl_ci95_high,forward_kl_status,tv_mean,tv_ci95_low,tv_ci95_high,tv_status,average_marginal_w1_mean,average_marginal_w1_ci95_low,average_marginal_w1_ci95_high,average_marginal_w1_status,sliced_w1_mean,sliced_w1_ci95_low,sliced_w1_ci95_high,sliced_w1_status,validation_elbo_mean,validation_elbo_ci95_low,validation_elbo_ci95_high,validation_elbo_status,normalized_gradient_mean,normalized_gradient_ci95_low,normalized_gradient_ci95_high,normalized_gradient_status,wall_time_seconds_mean,wall_time_seconds_ci95_low,wall_time_seconds_ci95_high,wall_time_seconds_status,jacobian_log_q01_mean,jacobian_log_q01_ci95_low,jacobian_log_q01_ci95_high,jacobian_log_q01_status,jacobian_log_q50_mean,jacobian_log_q50_ci95_low,jacobian_log_q50_ci95_high,jacobian_log_q50_status,jacobian_log_q99_mean,jacobian_log_q99_ci95_low,jacobian_log_q99_ci95_high,jacobian_log_q99_status
log,20,softplus,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
log,20,exp,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
log,20,squareplus,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
log,5,softplus,5,5,0.0,0.3716186276878645,0.2821737416156276,0.45114702888097097,finite,0.943862448639582,0.7316241100140528,1.1413943794772787,finite,0.29775365115802355,0.2537239102853389,0.33369101107034876,finite,0.0058919460992857,0.00516860508917868,0.00662572209876266,finite,0.00537572415377346,0.00483758007620024,0.0059440691685162,finite,-0.5445482842568895,-0.9159186695217351,-0.29567078370013183,finite,0.0004767408123722799,0.00022590835897216003,0.0009427893823818602,finite,5.06549924002029,3.140803900035098,8.191408480051905,finite,-2.7314139469847922,-3.5306437673577244,-2.1302588698990124,finite,-1.3004342821353627,-1.3317550094112738,-1.2687213148082166,finite,-0.4040089649669822,-0.4412802800157511,-0.3661812432053907,finite
log,5,exp,5,5,0.0,0.3718874814659229,0.29817513548988644,0.4464244918548569,finite,1.0771135130995548,0.792581052337424,1.3616459738616857,finite,0.2994778341290683,0.2669282132952791,0.33069067632952576,finite,0.00627161508187996,0.00554995346043268,0.00702227326174462,finite,0.0057248319169261,0.00497943066878438,0.00638400530010234,finite,-0.5448037413710207,-0.8451999350246876,-0.3303861183747958,finite,0.00025682021955577997,0.00018699032417084,0.0003423102382955,finite,3.3382035199552775,1.9251579999458044,5.540656139934436,finite,-2.647390040283335,-3.4515114309855397,-2.0383038451702498,finite,-1.1445108721888737,-1.1883741427632961,-1.105179340600435,finite,0.10035775250054076,0.02986786660345988,0.1708476383976216,finite
log,5,squareplus,5,5,0.0,0.32304499663008335,0.13299784006113646,0.5820179382841888,finite,7.430671865220892,0.19431780145973115,21.02619214500653,finite,0.26378272685569976,0.17092248146096933,0.37544329227589757,finite,0.0036106181419779,0.00207660424912732,0.00514463203482848,finite,0.004089246823097701,0.0029794595374595806,0.005208555961423241,finite,-0.49480948220503385,-0.892062512635527,-0.15873689032850602,finite,0.0001990502882878552,7.561123335097036e-05,0.00035534100725439995,finite,2.935077700112015,2.342500200076029,3.4912054201588036,finite,-0.4345350954691173,-1.2737557661328407,-0.00511792840064604,finite,-0.00033457898948890003,-0.000405517884476,-0.00024866637293949995,finite,-2.7902066289423273e-05,-3.221888941041547e-05,-2.140263799819132e-05,finite
sigmoid,20,softplus,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
sigmoid,20,exp,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
sigmoid,20,squareplus,0,5,1.0,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable,,,,unavailable
sigmoid,5,softplus,5,5,0.0,0.48092486157187775,0.4152516458855528,0.5567955674259448,finite,1.402597522478218,1.158104155061285,1.6470908898951513,finite,0.34386924502885235,0.32153277694503624,0.36938733117739675,finite,0.0124706988192989,0.008765927513496261,0.01617547012510154,finite,0.00784997749335538,0.006328747165736799,0.009371207820973958,finite,-5.578690058104509,-7.715220604800481,-3.628530625626199,finite,0.0008079796852371599,0.00045506592007804006,0.00132626707508338,finite,7.310610620025545,5.483098339987919,9.138122900063172,finite,-4.777973480516236,-5.357654159376784,-4.238181186509335,finite,-2.2419507336376845,-2.7491167590167693,-1.7347847082585997,finite,-0.12285081563781586,-0.17446400680927768,-0.07158129772309166,finite
sigmoid,5,exp,5,5,0.0,0.6519103136713056,0.5794090964332289,0.734163415693092,finite,2.1513377836987018,1.8391398208654715,2.4662554472878413,finite,0.408795403153927,0.38462594098942515,0.43945638560480715,finite,0.01669891199117162,0.01170019582065336,0.021697628161689877,finite,0.01151357524039298,0.009326356065692421,0.01370079441509354,finite,-5.746632997365669,-7.858815344953217,-3.7754855867662522,finite,0.00197246536681912,0.00103596067738812,0.0034125520343714,finite,6.987419319944456,6.0829583199694754,7.780042599933222,finite,-4.664375387134596,-5.301670855071465,-4.069801218888768,finite,-2.179396830660658,-2.7158508100170957,-1.6429428513042204,finite,0.8009178466006028,0.6115235575420364,0.9886838919742236,finite
sigmoid,5,squareplus,5,5,0.0,0.20175201456939162,0.16095645654490415,0.2386405268056476,finite,13965.708818464333,205.85116111362998,40840.01179529821,finite,0.22591620200768867,0.20092554334539248,0.24460608284802765,finite,0.007570912703373521,0.004799705705170486,0.01036592667938832,finite,0.00583279240613452,0.00413690271493738,0.0073645593144120005,finite,-5.302096734962052,-7.446125825051091,-3.324298794460166,finite,0.00036411384047324005,0.00026761290645378,0.0004341501646443,finite,3.2920648800209165,2.6723444200120867,3.958459240058437,finite,-3.3027651018876405,-3.402024175509994,-3.203385552660331,finite,-0.02967893293183722,-0.04525741486330341,-0.014757332347109742,finite,-8.775997691679606e-05,-0.00011294007432195889,-6.257987951163321e-05,finite
