m_constraints,family,component,repeat,value,unit,batch_size,iterations
5,shared,posterior_construction,0,0.012145099928602576,seconds,0,1
5,shared,posterior_construction,1,0.012810099869966507,seconds,0,1
5,shared,posterior_construction,2,0.010849899845197797,seconds,0,1
5,shared,posterior_construction,3,0.013030300149694085,seconds,0,1
5,shared,posterior_construction,4,0.011098399991169572,seconds,0,1
5,shared,posterior_construction,5,0.010320700006559491,seconds,0,1
5,shared,posterior_construction,6,0.010370199801400304,seconds,0,1
5,shared,target_factorization,0,4.620011895895004e-05,seconds,0,1
5,shared,target_factorization,1,4.640012048184872e-05,seconds,0,1
5,shared,target_factorization,2,4.369998350739479e-05,seconds,0,1
5,shared,target_factorization,3,4.2400090023875237e-05,seconds,0,1
5,shared,target_factorization,4,4.229997284710407e-05,seconds,0,1
5,shared,target_factorization,5,4.269997589290142e-05,seconds,0,1
5,shared,target_factorization,6,4.1899969801306725e-05,seconds,0,1
5,diag,objective_gradient,0,0.0010400000028312206,seconds,512,1
5,diag,objective_gradient,1,0.0009445000905543566,seconds,512,1
5,diag,objective_gradient,2,0.0009603002108633518,seconds,512,1
5,diag,objective_gradient,3,0.000950800022110343,seconds,512,1
5,diag,objective_gradient,4,0.0009086001664400101,seconds,512,1
5,diag,objective_gradient,5,0.0009322999976575375,seconds,512,1
5,diag,objective_gradient,6,0.0009383999276906252,seconds,512,1
5,diag,1000_iterations,0,0.2041352998930961,seconds,8,1000
5,diag,1000_iterations,1,0.24364619981497526,seconds,8,1000
5,diag,1000_iterations,2,0.23279680009000003,seconds,8,1000
5,diag,1000_iterations,3,0.2670587000902742,seconds,8,1000
5,diag,1000_iterations,4,0.2715401998721063,seconds,8,1000
5,diag,1000_iterations,5,0.22358909994363785,seconds,8,1000
5,diag,1000_iterations,6,0.20504030003212392,seconds,8,1000
5,diag,10000_samples,0,0.0021541998721659184,seconds,10000,1
5,diag,10000_samples,1,0.00278669991530478,seconds,10000,1
5,diag,10000_samples,2,0.00276739988476038,seconds,10000,1
5,diag,10000_samples,3,0.002665999811142683,seconds,10000,1
5,diag,10000_samples,4,0.0021782999392598867,seconds,10000,1
5,diag,10000_samples,5,0.002188999904319644,seconds,10000,1
5,diag,10000_samples,6,0.0021370998583734035,seconds,10000,1
5,diag,peak_memory,0,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,1,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,2,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,3,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,4,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,5,81.1875,MiB_peak_RSS,512,20
5,diag,peak_memory,6,81.1875,MiB_peak_RSS,512,20
5,rank2,objective_gradient,0,0.001571600092574954,seconds,512,1
5,rank2,objective_gradient,1,0.0014345000963658094,seconds,512,1
5,rank2,objective_gradient,2,0.0015447998885065317,seconds,512,1
5,rank2,objective_gradient,3,0.001342700095847249,seconds,512,1
5,rank2,objective_gradient,4,0.0013086998369544744,seconds,512,1
5,rank2,objective_gradient,5,0.0013910001143813133,seconds,512,1
5,rank2,objective_gradient,6,0.0011585999745875597,seconds,512,1
5,rank2,1000_iterations,0,0.3936245001386851,seconds,8,1000
5,rank2,1000_iterations,1,0.330788099905476,seconds,8,1000
5,rank2,1000_iterations,2,0.38308970001526177,seconds,8,1000
5,rank2,1000_iterations,3,0.555220999987796,seconds,8,1000
5,rank2,1000_iterations,4,0.49359870003536344,seconds,8,1000
5,rank2,1000_iterations,5,0.5090542000252753,seconds,8,1000
5,rank2,1000_iterations,6,0.39548170007765293,seconds,8,1000
5,rank2,10000_samples,0,0.0029168000910431147,seconds,10000,1
5,rank2,10000_samples,1,0.0029456999618560076,seconds,10000,1
5,rank2,10000_samples,2,0.0026497000362724066,seconds,10000,1
5,rank2,10000_samples,3,0.002700299955904484,seconds,10000,1
5,rank2,10000_samples,4,0.0045964999590069056,seconds,10000,1
5,rank2,10000_samples,5,0.0030424001161009073,seconds,10000,1
5,rank2,10000_samples,6,0.0024720998480916023,seconds,10000,1
5,rank2,peak_memory,0,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,1,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,2,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,3,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,4,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,5,81.96484375,MiB_peak_RSS,512,20
5,rank2,peak_memory,6,81.96484375,MiB_peak_RSS,512,20
5,rank4,objective_gradient,0,0.0017397000920027494,seconds,512,1
5,rank4,objective_gradient,1,0.0020669000223279,seconds,512,1
5,rank4,objective_gradient,2,0.0012968000955879688,seconds,512,1
5,rank4,objective_gradient,3,0.0014172999653965235,seconds,512,1
5,rank4,objective_gradient,4,0.0012892000377178192,seconds,512,1
5,rank4,objective_gradient,5,0.001169299939647317,seconds,512,1
5,rank4,objective_gradient,6,0.0011822001542896032,seconds,512,1
5,rank4,1000_iterations,0,0.3818609002046287,seconds,8,1000
5,rank4,1000_iterations,1,0.36057380004785955,seconds,8,1000
5,rank4,1000_iterations,2,0.43000960000790656,seconds,8,1000
5,rank4,1000_iterations,3,0.3663701000623405,seconds,8,1000
5,rank4,1000_iterations,4,0.4289671001024544,seconds,8,1000
5,rank4,1000_iterations,5,0.4736421999987215,seconds,8,1000
