m_constraints,family,component,median,q25,q75,unit,batch_size,iterations,repeats
5,diag,10000_samples,0.002188999904319644,0.0021662499057129025,0.0027166998479515314,seconds,10000,1,7
5,diag,1000_iterations,0.23279680009000003,0.21431469998788089,0.25535244995262474,seconds,8,1000,7
5,diag,objective_gradient,0.0009445000905543566,0.0009353499626740813,0.0009555501164868474,seconds,512,1,7
5,diag,peak_memory,81.1875,81.1875,81.1875,MiB_peak_RSS,512,20,7
5,full,10000_samples,0.003388199955224991,0.003322600037790835,0.0033927999902516603,seconds,10000,1,7
5,full,1000_iterations,0.5804075000341982,0.5528788000810891,0.6518743499182165,seconds,8,1000,7
5,full,objective_gradient,0.0014843998942524195,0.0013802500907331705,0.002078650053590536,seconds,512,1,7
5,full,peak_memory,82.8125,82.8125,82.8125,MiB_peak_RSS,512,20,7
5,rank2,10000_samples,0.0029168000910431147,0.002674999996088445,0.0029940500389784575,seconds,10000,1,7
5,rank2,1000_iterations,0.39548170007765293,0.38835710007697344,0.5013264500303194,seconds,8,1000,7
5,rank2,objective_gradient,0.0013910001143813133,0.0013256999664008617,0.0014896499924361706,seconds,512,1,7
5,rank2,peak_memory,81.96484375,81.96484375,81.96484375,MiB_peak_RSS,512,20,7
5,rank4,10000_samples,0.0038650999777019024,0.003772399970330298,0.003925949917174876,seconds,10000,1,7
5,rank4,1000_iterations,0.4070669999346137,0.3741155001334846,0.4294883500551805,seconds,8,1000,7
5,rank4,objective_gradient,0.0012968000955879688,0.0012357000960037112,0.0015785000286996365,seconds,512,1,7
5,rank4,peak_memory,82.36328125,82.36328125,82.36328125,MiB_peak_RSS,512,20,7
5,rank8,10000_samples,0.005578200099989772,0.0046901998575776815,0.006810899940319359,seconds,10000,1,7
5,rank8,1000_iterations,0.35851609986275434,0.34056175011210144,0.3802437001140788,seconds,8,1000,7
5,rank8,objective_gradient,0.0013431999832391739,0.001290749991312623,0.0014242000179365277,seconds,512,1,7
5,rank8,peak_memory,82.62890625,82.62890625,82.62890625,MiB_peak_RSS,512,20,7
5,shared,posterior_construction,0.011098399991169572,0.01061004982329905,0.012477599899284542,seconds,0,1,7
5,shared,target_factorization,4.269997589290142e-05,4.2350031435489655e-05,4.495005123317242e-05,seconds,0,1,7
10,diag,10000_samples,0.006350700045004487,0.0060975500382483006,0.007033249945379794,seconds,10000,1,7
10,diag,1000_iterations,0.26177199999801815,0.2469080500304699,0.2678224000846967,seconds,8,1000,7
10,diag,objective_gradient,0.0017224999610334635,0.001617400092072785,0.0018282500095665455,seconds,512,1,7
10,diag,peak_memory,82.5,82.5,82.5,MiB_peak_RSS,512,20,7
10,full,10000_samples,0.010368899907916784,0.007849699934013188,0.010933900019153953,seconds,10000,1,7
10,full,1000_iterations,0.7095280999783427,0.5609789999434724,0.7108625998953357,seconds,8,1000,7
10,full,objective_gradient,0.0018904998432844877,0.0016315000830218196,0.0019368500215932727,seconds,512,1,7
10,full,peak_memory,82.71484375,82.71484375,82.71484375,MiB_peak_RSS,512,20,7
10,rank2,10000_samples,0.006072100019082427,0.005665650009177625,0.006403599865734577,seconds,10000,1,7
10,rank2,1000_iterations,0.3684486001729965,0.3595457000192255,0.4040834498591721,seconds,8,1000,7
10,rank2,objective_gradient,0.0020216000266373158,0.0019988500280305743,0.0022170499432832003,seconds,512,1,7
10,rank2,peak_memory,82.58984375,82.58984375,82.58984375,MiB_peak_RSS,512,20,7
10,rank4,10000_samples,0.009268400026485324,0.008480550139211118,0.012540800031274557,seconds,10000,1,7
10,rank4,1000_iterations,0.3973507001064718,0.3749372500460595,0.40832195000257343,seconds,8,1000,7
10,rank4,objective_gradient,0.0018209998961538076,0.0016870000399649143,0.0019847500370815396,seconds,512,1,7
10,rank4,peak_memory,82.56640625,82.56640625,82.56640625,MiB_peak_RSS,512,20,7
10,rank8,10000_samples,0.008043500129133463,0.007827799883671105,0.008666299981996417,seconds,10000,1,7
10,rank8,1000_iterations,0.4103522999212146,0.36827744997572154,0.4382593500195071,seconds,8,1000,7
10,rank8,objective_gradient,0.0018699001520872116,0.001818199991248548,0.0023863499518483877,seconds,512,1,7
10,rank8,peak_memory,82.6171875,82.6171875,82.6171875,MiB_peak_RSS,512,20,7
10,shared,posterior_construction,0.01974570006132126,0.016770250047557056,0.02191084995865822,seconds,0,1,7
10,shared,target_factorization,4.429998807609081e-05,4.3599982745945454e-05,5.170004442334175e-05,seconds,0,1,7
20,diag,10000_samples,0.010206999955698848,0.010030250065028667,0.010797899914905429,seconds,10000,1,7
20,diag,1000_iterations,0.2554866001009941,0.23633370001334697,0.2735178000293672,seconds,8,1000,7
20,diag,objective_gradient,0.0016524000093340874,0.001640399917960167,0.0018477999838069081,seconds,512,1,7
20,diag,peak_memory,82.75390625,82.75390625,82.75390625,MiB_peak_RSS,512,20,7
20,full,10000_samples,0.01368580013513565,0.013602350139990449,0.013945400016382337,seconds,10000,1,7
20,full,1000_iterations,0.5632362999022007,0.543576049967669,0.5804774999851361,seconds,8,1000,7
20,full,objective_gradient,0.0027111999224871397,0.002585449954494834,0.003863949910737574,seconds,512,1,7
20,full,peak_memory,83.2734375,83.2734375,83.2734375,MiB_peak_RSS,512,20,7
20,rank2,10000_samples,0.014103499939665198,0.013386600068770349,0.014382800087332726,seconds,10000,1,7
20,rank2,1000_iterations,0.39242910011671484,0.3686320501146838,0.40726434998214245,seconds,8,1000,7
20,rank2,objective_gradient,0.002327500144019723,0.0020623001037165523,0.0024867000756785274,seconds,512,1,7
20,rank2,peak_memory,83.14453125,83.14453125,83.14453125,MiB_peak_RSS,512,20,7
20,rank4,10000_samples,0.016253799898549914,0.014803849859163165,0.01786809996701777,seconds,10000,1,7
20,rank4,1000_iterations,0.39164000004529953,0.37450685002841055,0.41690314991865307,seconds,8,1000,7
20,rank4,objective_gradient,0.002264099894091487,0.002144400030374527,0.00233220006339252,seconds,512,1,7
20,rank4,peak_memory,83.1171875,83.1171875,83.1171875,MiB_peak_RSS,512,20,7
20,rank8,10000_samples,0.018498099874705076,0.017909649992361665,0.022651299950666726,seconds,10000,1,7
20,rank8,1000_iterations,0.44726979988627136,0.4406333500519395,0.4579341500066221,seconds,8,1000,7
20,rank8,objective_gradient,0.0025924998335540295,0.0025694500654935837,0.0027759999502450228,seconds,512,1,7
20,rank8,peak_memory,83.23828125,83.23828125,83.23828125,MiB_peak_RSS,512,20,7
20,shared,posterior_construction,0.016670800046995282,0.01602274994365871,0.018808549968525767,seconds,0,1,7
20,shared,target_factorization,5.16998115926981e-05,5.059991963207722e-05,5.425000563263893e-05,seconds,0,1,7
40,diag,10000_samples,0.02058019977994263,0.0198370999423787,0.021478299982845783,seconds,10000,1,7
40,diag,1000_iterations,0.2920071999542415,0.2705197500763461,0.30941705009900033,seconds,8,1000,7
40,diag,objective_gradient,0.003724300069734454,0.0035210499772801995,0.004187249927781522,seconds,512,1,7
40,diag,peak_memory,84.0078125,84.0078125,84.0078125,MiB_peak_RSS,512,20,7
40,full,10000_samples,0.03034480009227991,0.030071849934756756,0.0317119499668479,seconds,10000,1,7
40,full,1000_iterations,0.6963652002159506,0.6821927999844775,0.7339149500476196,seconds,8,1000,7
